pair,strategy,trades,wr,pf,avg_r,ret,max_dd,days
GBPJPY,D_bb_reversion,13,0.38461538461538464,0.8126849093374199,-0.1152708860408186,-9.242387660877371,17.078675347157926,1017
NZDJPY,C_prevday_break,15,0.4,0.8087887464518559,-0.11472675626232544,-10.355977517468073,16.234124456209713,1017
EURJPY,B_london_break,7,0.2857142857142857,0.8021479470088222,-0.1413228293459536,-6.485635918798327,17.383178049456603,1017
GBPCAD,C_prevday_break,9,0.3333333333333333,0.7782897938370521,-0.14780678726799865,-8.125905885104434,15.787285263458378,1017
EURCHF,B_london_break,11,0.36363636363636365,0.7102213819804388,-0.18440458350934072,-11.282444436298011,16.343966845983765,1017
EURAUD,C_prevday_break,12,0.3333333333333333,0.6992259839231308,-0.20051610851248655,-13.305503557700249,18.52384105838273,1017
EURJPY,C_prevday_break,7,0.42857142857142855,0.6857061191875414,-0.17959656003455335,-6.888417004514524,17.587969844633278,1017
AUDCAD,C_prevday_break,11,0.36363636363636365,0.6542406874122966,-0.22002865721085463,-12.933809503654793,18.535946005521133,1017
AUDCAD,B_london_break,11,0.36363636363636365,0.6449745796390284,-0.2259251590600364,-13.07432188415605,18.259774498104782,1017
GBPCAD,A_trend_pullback,8,0.25,0.630789225318219,-0.27690825031549177,-11.94241638470418,18.361494866523113,1017
AUDUSD,D_bb_reversion,12,0.25,0.6281932599466346,-0.2788551855136559,-17.524930486600066,19.366961815788176,1017
NZDJPY,D_bb_reversion,8,0.25,0.5931772165269339,-0.30511691413185527,-12.843471356946646,18.2771816278698,1017
USDJPY,D_bb_reversion,11,0.2727272727272727,0.5533323734870419,-0.3248491804882399,-17.994071453922935,19.582251473721524,1017
EURCAD,C_prevday_break,11,0.2727272727272727,0.538013003047003,-0.3359904944906278,-18.48112253738049,19.794134197019623,1017
EURJPY,D_bb_reversion,7,0.2857142857142857,0.49513740327681527,-0.3606159236628006,-12.7485759335773,17.397738441947176,1017
GBPUSD,C_prevday_break,9,0.2222222222222222,0.48976792659897966,-0.3968470846963059,-17.737731496673593,19.580600930788144,1017
USDCAD,B_london_break,9,0.3333333333333333,0.4425750007450855,-0.37161670876600916,-16.295629313086046,19.36535388467678,1017
EURGBP,B_london_break,9,0.3333333333333333,0.43366152866363594,-0.37755891439720446,-16.58335397237304,16.990151147874222,1017
AUDNZD,B_london_break,6,0.3333333333333333,0.42493012391942425,-0.38337977949319085,-11.505058591578365,18.43341104219575,1017
AUDCHF,D_bb_reversion,7,0.2857142857142857,0.369377061410669,-0.45044526124215656,-15.313593896081235,19.084089104684672,1017
USDCHF,B_london_break,8,0.25,0.36087457166537407,-0.47934405104098543,-18.327588188055376,19.17376204163944,1017
GBPJPY,C_prevday_break,6,0.3333333333333333,0.3386103874020771,-0.4409269593121589,-12.954580114290515,17.142180417584704,1017
EURNZD,A_trend_pullback,6,0.16666666666666666,0.3284470072205037,-0.5596269233745593,-16.268239432138287,16.788807701236802,1017
USDCHF,D_bb_reversion,6,0.16666666666666666,0.31904698834086986,-0.5674609161944654,-16.450096344916908,17.023827485833955,1017
AUDNZD,C_prevday_break,7,0.2857142857142857,0.3147103548679951,-0.4894922929132149,-16.430137720278836,19.442421139027203,1017
EURCAD,D_bb_reversion,6,0.16666666666666666,0.30954874327110943,-0.5753760250488508,-16.63383271462333,19.466854347972216,1017
GBPJPY,B_london_break,6,0.16666666666666666,0.3074225049180755,-0.5771473785535656,-16.67494961201704,17.314421356606964,1017
GBPUSD,D_bb_reversion,6,0.16666666666666666,0.30466389840399144,-0.5794467509320772,-16.728328315763086,17.383402527962335,1017
EURCHF,C_prevday_break,5,0.2,0.3046270311474895,-0.55629867630188,-13.586969747795152,18.851476352721605,1017
AUDNZD,D_bb_reversion,6,0.16666666666666666,0.27919829042811617,-0.600668168480468,-17.220950481903618,18.02004505441404,1017
GBPNZD,A_trend_pullback,5,0.2,0.27238060070165215,-0.5820956866236522,-14.112264885867665,18.966769436965233,1017
GBPCHF,C_prevday_break,6,0.16666666666666666,0.27220778282367414,-0.606493377730361,-17.356172703381688,19.645363000400376,1017
EURUSD,A_trend_pullback,6,0.3333333333333333,0.24999992556807438,-0.5000000244929709,-14.425937656578714,19.047618405982092,1017
AUDCHF,B_london_break,5,0.2,0.21064037078294817,-0.6314877293829898,-15.11801762458661,15.787193234574751,1017
EURCHF,A_trend_pullback,5,0.2,0.2086882210498652,-0.6330496117296975,-15.149822101426558,15.826240293242444,1017
EURAUD,A_trend_pullback,5,0.2,0.20697885509899494,-0.634416704177335,-15.177658743349076,15.860417604433389,1017
USDCHF,A_trend_pullback,6,0.16666666666666666,0.20216323430888974,-0.6648639362568147,-18.711153901459497,19.989191103502378,1017
EURCAD,A_trend_pullback,5,0.2,0.20142997169884552,-0.6388559284708997,-15.268053436519624,19.225479603594504,1017
AUDNZD,A_trend_pullback,5,0.2,0.18847469858327176,-0.6492197979534835,-15.479088549910614,16.230494948837094,1017
GBPAUD,C_prevday_break,5,0.2,0.12499978143990771,-0.7000001811998774,-16.513113076380993,17.500004529996932,1017
AUDCHF,C_prevday_break,5,0.0,0.0,-0.8260134168465332,-19.079077306503457,20.65033542116331,1017
