trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
816,2026-02-15 19:35:00,2026-02-15 19:55:00,SELL,5493.19,5499.303786,1.0,5499.303786,2.037929,-0.27,5.0,-0.03,LOSS,SL,0.13,0.0,-5.32,-5.35
817,2026-02-16 10:05:00,2026-02-16 10:40:00,SELL,5516.527,5525.624286,1.0,5525.624286,3.032429,-0.16,3.0,-0.05,LOSS,SL,0.31,0.0,-5.35,-5.4
818,2026-02-16 10:45:00,2026-02-16 11:05:00,SELL,5528.043,5528.231071,0.5,5534.866286,2.274429,-0.16,3.0,0.01,WIN,CHANDELIER,-0.07,2.42,-5.4,-5.39
819,2026-02-16 11:10:00,2026-02-16 11:55:00,SELL,5518.14,5524.0065,1.0,5526.9585,2.9395,-0.27,5.0,-0.03,LOSS,CHANDELIER,0.12,1.0,-5.39,-5.42
820,2026-02-16 12:00:00,2026-02-16 12:05:00,SELL,5526.065,5522.268571,0.5,5535.177286,3.037429,-0.27,5.0,0.03,WIN,CHANDELIER,-0.1,3.75,-5.42,-5.4
821,2026-02-16 12:20:00,2026-02-16 13:15:00,SELL,5506.415,5512.563643,1.0,5517.206643,3.597214,-0.27,5.0,-0.03,LOSS,CHANDELIER,0.12,1.29,-5.4,-5.43
822,2026-02-16 13:20:00,2026-02-16 13:35:00,SELL,5515.229,5515.694179,0.5,5521.517214,2.096071,-0.27,5.0,0.01,WIN,CHANDELIER,-0.04,2.28,-5.43,-5.42
823,2026-02-17 00:00:00,2026-02-17 00:25:00,SELL,5543.75,5538.113714,0.5,5549.970071,2.073357,-0.27,5.0,0.03,WIN,CHANDELIER,-0.1,4.72,-5.42,-5.39
824,2026-02-17 00:30:00,2026-02-17 01:05:00,SELL,5536.431,5542.010857,1.0,5545.098857,2.889286,-0.43,8.0,-0.03,LOSS,CHANDELIER,0.07,1.07,-5.39,-5.42
825,2026-02-17 01:10:00,2026-02-17 01:20:00,SELL,5543.814,5537.683429,0.5,5552.511643,2.899214,-0.27,5.0,0.03,WIN,CHANDELIER,-0.12,4.11,-5.42,-5.39
826,2026-02-19 05:30:00,2026-02-19 05:35:00,SELL,5626.512,5619.311143,0.5,5632.681714,2.056571,-0.27,5.0,0.03,WIN,CHANDELIER,-0.11,5.5,-5.39,-5.36
827,2026-02-19 05:40:00,2026-02-19 06:15:00,SELL,5611.944,5615.176929,1.0,5621.233929,3.096643,-0.43,8.0,-0.02,LOSS,CHANDELIER,0.04,1.96,-5.36,-5.38
828,2026-02-19 06:35:00,2026-02-19 07:35:00,SELL,5611.415,5617.944857,1.0,5622.482857,3.689286,-0.27,5.0,-0.03,LOSS,CHANDELIER,0.13,1.23,-5.38,-5.41
829,2026-02-19 07:40:00,2026-02-19 08:10:00,SELL,5611.84,5620.174429,1.0,5620.174429,2.778143,-0.16,3.0,-0.04,LOSS,SL,0.27,0.0,-5.41,-5.46
830,2026-02-19 08:20:00,2026-02-19 08:40:00,SELL,5623.545,5630.120143,1.0,5630.120143,2.191714,-0.16,3.0,-0.04,LOSS,SL,0.21,0.0,-5.46,-5.49
831,2026-02-19 08:45:00,2026-02-19 09:00:00,SELL,5631.927,5625.723429,0.5,5636.936143,1.669714,-0.16,3.0,0.03,WIN,CHANDELIER,-0.15,5.72,-5.49,-5.47
832,2026-02-20 16:20:00,2026-02-20 16:30:00,SELL,5595.569,5592.47675,0.5,5604.7295,3.0535,-0.27,5.0,0.02,WIN,CHANDELIER,-0.09,3.51,-5.47,-5.44
833,2026-02-20 16:35:00,2026-02-20 16:50:00,SELL,5587.428,5572.544857,0.5,5598.899786,3.823929,-0.44,8.0,0.06,WIN,CHANDELIER,-0.14,5.89,-5.44,-5.38
834,2026-02-20 17:50:00,2026-02-20 18:25:00,SELL,5564.415,5576.028429,1.0,5576.028429,3.871143,-0.43,8.0,-0.06,LOSS,SL,0.15,0.0,-5.38,-5.45
835,2026-02-20 20:40:00,2026-02-20 21:20:00,SELL,5580.152,5576.659714,0.5,5590.430857,3.426286,-0.27,5.0,0.03,WIN,CHANDELIER,-0.1,3.52,-5.45,-5.42
836,2026-02-20 21:25:00,2026-02-20 21:40:00,SELL,5563.931,5560.125071,0.5,5574.126286,3.398429,-0.27,5.0,0.03,WIN,CHANDELIER,-0.11,3.62,-5.42,-5.39
837,2026-02-21 07:55:00,2026-02-21 08:10:00,SELL,5586.814,5581.309,0.5,5592.478,1.888,-0.43,8.0,0.02,WIN,CHANDELIER,-0.06,4.92,-5.39,-5.36
838,2026-02-21 08:15:00,2026-02-21 08:20:00,SELL,5580.179,5577.163464,0.5,5587.750357,2.523786,-0.43,8.0,0.02,WIN,CHANDELIER,-0.05,3.69,-5.36,-5.34
839,2026-02-21 08:25:00,2026-02-21 09:00:00,SELL,5573.401,5580.394,1.0,5582.806,3.135,-0.43,8.0,-0.04,LOSS,CHANDELIER,0.09,0.77,-5.34,-5.38
840,2026-02-21 09:05:00,2026-02-21 09:40:00,SELL,5579.959,5588.661714,1.0,5589.671714,3.237571,-0.27,5.0,-0.05,LOSS,CHANDELIER,0.17,0.31,-5.38,-5.43
841,2026-02-21 09:45:00,2026-02-21 09:50:00,SELL,5591.093,5583.617714,0.5,5596.399571,1.768857,-0.16,3.0,0.03,WIN,CHANDELIER,-0.18,6.23,-5.43,-5.4
842,2026-02-22 01:05:00,2026-02-22 01:15:00,SELL,5606.494,5606.936929,0.5,5614.382714,2.629571,-0.27,5.0,0.01,WIN,CHANDELIER,-0.05,2.33,-5.4,-5.38
843,2026-02-22 01:20:00,2026-02-22 01:55:00,SELL,5596.6,5589.392286,0.5,5606.132929,3.177643,-0.43,8.0,0.04,WIN,CHANDELIER,-0.08,4.27,-5.38,-5.35
844,2026-02-22 02:00:00,2026-02-22 02:30:00,SELL,5586.325,5587.837321,0.5,5597.739786,3.804929,-0.43,8.0,0.02,WIN,CHANDELIER,-0.04,2.1,-5.35,-5.33
845,2026-02-22 02:45:00,2026-02-22 02:50:00,SELL,5584.078,5585.608286,0.5,5595.375143,3.765714,-0.43,8.0,0.02,WIN,CHANDELIER,-0.04,2.09,-5.33,-5.32
846,2026-02-22 03:50:00,2026-02-22 04:00:00,SELL,5574.111,5575.63825,0.5,5584.1325,3.3405,-0.43,8.0,0.01,WIN,CHANDELIER,-0.03,2.04,-5.32,-5.3
847,2026-02-22 04:05:00,2026-02-22 04:35:00,SELL,5568.808,5578.707357,1.0,5578.707357,3.299786,-0.42,8.0,-0.05,LOSS,SL,0.13,0.0,-5.3,-5.36
848,2026-02-23 06:05:00,2026-02-23 06:30:00,SELL,5637.794,5643.976786,1.0,5643.976786,2.060929,-0.27,5.0,-0.03,LOSS,SL,0.12,0.0,-5.36,-5.39
849,2026-02-23 06:35:00,2026-02-23 06:45:00,SELL,5646.851,5630.307286,0.5,5652.627929,1.925643,-0.16,3.0,0.05,WIN,CHANDELIER,-0.34,10.59,-5.39,-5.33
850,2026-02-23 06:50:00,2026-02-23 07:20:00,SELL,5626.016,5635.479071,1.0,5635.479071,3.154357,-0.27,5.0,-0.05,LOSS,SL,0.19,0.0,-5.33,-5.38
851,2026-02-23 07:25:00,2026-02-23 07:55:00,SELL,5637.69,5647.206429,1.0,5647.206429,3.172143,-0.27,5.0,-0.05,LOSS,SL,0.19,0.0,-5.38,-5.43
852,2026-02-23 08:00:00,2026-02-23 08:10:00,SELL,5649.567,5648.512786,0.5,5654.615143,1.682714,-0.16,3.0,0.01,WIN,CHANDELIER,-0.07,3.13,-5.43,-5.42
853,2026-02-24 01:00:00,2026-02-24 01:05:00,SELL,5640.962,5638.491857,0.5,5647.835429,2.291143,-0.27,5.0,0.02,WIN,CHANDELIER,-0.07,3.58,-5.42,-5.4
854,2026-02-24 01:10:00,2026-02-24 01:20:00,SELL,5635.561,5634.446393,0.5,5643.983071,2.807357,-0.43,8.0,0.02,WIN,CHANDELIER,-0.04,2.9,-5.4,-5.39
