trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
256,2025-10-22 03:15:00,2025-10-22 04:35:00,BUY,5477.806,5479.792893,8.39,5460.797071,5.669643,1.56,8.0,0.61,WIN,CHANDELIER,0.39,2.85,19.54,20.16
257,2025-10-22 04:40:00,2025-10-22 05:00:00,BUY,5474.302,5462.029429,23.98,5462.029429,4.090857,1.61,8.0,-1.61,LOSS,SL,-1.0,0.0,20.16,18.54
258,2025-10-22 05:05:00,2025-10-22 05:25:00,BUY,5457.726,5446.251643,14.7,5446.251643,3.824786,0.93,5.0,-0.93,LOSS,SL,-1.0,0.0,18.54,17.62
259,2025-10-22 05:30:00,2025-10-22 05:45:00,BUY,5441.143,5437.662,9.78,5431.342,3.267,0.53,3.0,-0.19,LOSS,CHANDELIER,-0.36,1.93,17.62,17.43
260,2025-10-23 02:05:00,2025-10-23 02:30:00,BUY,5550.42,5548.297071,2.58,5531.683286,6.245571,0.52,3.0,0.14,WIN,CHANDELIER,0.28,2.16,17.43,17.57
261,2025-10-23 02:50:00,2025-10-23 04:25:00,BUY,5561.547,5568.591893,4.36,5542.858071,6.229643,0.88,5.0,0.46,WIN,CHANDELIER,0.52,3.63,17.57,18.03
262,2025-10-23 04:30:00,2025-10-23 05:00:00,BUY,5572.652,5558.479143,18.91,5558.479143,4.724286,1.44,8.0,-1.44,LOSS,SL,-1.0,0.0,18.03,16.59
263,2025-10-23 05:05:00,2025-10-23 05:25:00,BUY,5555.459,5544.408071,13.9,5544.408071,3.683643,0.83,5.0,-0.83,LOSS,SL,-1.0,0.0,16.59,15.76
264,2025-10-23 05:30:00,2025-10-23 06:10:00,BUY,5539.149,5530.0235,8.1,5528.3655,3.5945,0.47,3.0,-0.4,LOSS,CHANDELIER,-0.85,0.46,15.76,15.36
265,2025-10-23 07:35:00,2025-10-23 08:00:00,BUY,5495.746,5484.532,7.53,5484.532,3.738,0.46,3.0,-0.46,LOSS,SL,-1.0,0.0,15.36,14.9
266,2025-10-24 01:05:00,2025-10-24 01:10:00,BUY,5329.614,5339.421429,3.135,5316.957643,4.218786,0.45,3.0,0.32,WIN,CHANDELIER,0.72,4.32,14.9,15.22
267,2025-10-24 01:15:00,2025-10-24 01:55:00,BUY,5342.592,5341.785964,4.25,5326.652357,5.313214,0.76,5.0,0.23,WIN,CHANDELIER,0.31,2.35,15.22,15.45
268,2025-10-24 02:00:00,2025-10-24 02:30:00,BUY,5354.987,5343.940143,12.8,5337.742143,5.748286,1.24,8.0,-0.79,LOSS,CHANDELIER,-0.64,1.08,15.45,14.66
269,2025-10-24 02:35:00,2025-10-24 03:05:00,BUY,5359.025,5341.062286,7.29,5341.062286,5.987571,0.73,5.0,-0.73,LOSS,SL,-1.0,0.01,14.66,13.93
270,2025-10-24 03:10:00,2025-10-24 03:35:00,BUY,5337.631,5324.794214,5.79,5324.794214,4.278929,0.42,3.0,-0.42,LOSS,SL,-1.0,0.0,13.93,13.51
271,2025-10-24 03:40:00,2025-10-24 03:55:00,BUY,5318.108,5308.878929,7.79,5308.878929,3.076357,0.41,3.0,-0.41,LOSS,SL,-1.0,0.0,13.51,13.11
272,2025-10-25 00:00:00,2025-10-25 00:20:00,BUY,5311.809,5306.6065,6.04,5300.2815,3.8425,0.39,3.0,-0.18,LOSS,CHANDELIER,-0.45,1.65,13.11,12.93
273,2025-10-25 00:25:00,2025-10-25 00:45:00,BUY,5322.236,5317.338643,4.85,5308.055643,4.726786,0.39,3.0,-0.13,LOSS,CHANDELIER,-0.35,1.96,12.93,12.8
274,2025-10-25 00:50:00,2025-10-25 01:45:00,BUY,5327.072,5318.615929,4.19,5310.792929,5.426357,0.38,3.0,-0.2,LOSS,CHANDELIER,-0.52,1.44,12.8,12.6
275,2025-10-25 02:40:00,2025-10-25 03:05:00,BUY,5341.568,5356.405714,2.02,5324.905571,5.554143,0.38,3.0,0.29,WIN,CHANDELIER,0.78,4.67,12.6,12.89
